botId,role,configuredRoomId,actualRoomId,connected,messagesSent,messagesReceived,droppedPackets,reconnects,rageQuitExecuted,maxAckLatencyMs
"debater_1","debater","","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,4,97,0,0,0,0
"debater_2","debater","","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,3,97,0,0,0,0
"debater_3","debater","","45b5d8d8-4b19-40b8-a399-aa1fc76a9bbf",0,3,95,0,0,0,0
"debater_4","debater","","45b5d8d8-4b19-40b8-a399-aa1fc76a9bbf",0,3,95,0,0,0,0
"spectator_1","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,91,1,0,0,0
"spectator_2","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,90,0,0,0,0
"spectator_3","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,92,0,0,0,0
"spectator_4","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,90,0,0,0,0
"spectator_5","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_6","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_7","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_8","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_9","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_10","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,90,0,0,0,0
"spectator_11","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,93,0,0,0,0
"spectator_12","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,85,0,0,0,0
"spectator_13","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,88,0,0,0,0
"spectator_14","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_15","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,87,0,0,0,0
"spectator_16","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_17","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,89,0,0,0,0
"spectator_18","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,90,0,0,0,0
"spectator_19","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,90,0,0,0,0
"spectator_20","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,88,0,0,0,0
"spectator_21","spectator","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84","e6df5470-0edc-45a6-b0b6-49ceb7ebbe84",0,0,86,0,0,0,0
